"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight","highlight 2","highlight 3","highlight 4","highlight 5","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight-color 2","air3-token 5","air3-token 6","air3-token 7","highlight 6","highlight 7"
"3 hours ago","Exceptional PHP / Next (/React) developer needed for fast-paced startup","https://www.upwork.com/jobs/Exceptional-PHP-Next-React-developer-needed-for-fast-paced-startup_~021917523132208593648/?referrer_url_path=/nx/search/jobs/","Hourly: $55.00 - $80.00","Intermediate","Est. time:","More than 6 months, 30+ hrs/week","We’re a rapidly growing startup in the commercial real estate tech space, and we're looking for a Laravel & Next (/React) Developer.  This is a full stack position, but you'll be doing more backend than frontend.

The Role
========
No BS: we have a lot of tech debt from prior generations of agency developers, and simultaneously have aggressive roadmap goals. This is a challenging position for a deeply skilled engineer who enjoys bringing order to chaos while regularly shipping business value. This is not a typical  developer job. If you want to work hard, get paid well, and also deliver high quality software -- read on.

Why You Might Not Be A Fit
======================
We will ignore applications that aren't a fit. Don't waste our time or yours if you don't hit these, please.

* We are looking for a minimum of 10 years of experience since graduation.
* This is a full time role. We have business goals to hit and cannot accomodate part time.
* We need at least 75% EST business day overlap - ideally 100%. Since we're moving fast, synchronous comms are important.

What You’ll Do
===========
* Build and maintain our Laravel-based platform with scalability and performance in mind.
* Develop new features, integrate third-party APIs, and optimize data flows.
* Troubleshoot issues, fix bugs, and ensure smooth operation as we scale.
* Write clean, maintainable code that aligns with best practices.
* Collaborate with a fast-moving remote team – communication and ownership are key.

Our Rigorous Interview Process 
==========================
Our interview process is intense by Upwork standards, but if you are genuinely a high performing developer, you stand great chances. We guarantee we won't waste your time; if you don't make it after the first round, we'll let you know. The process includes:

* 1-2 Technical Assessments: Prove your coding skills in recorded interviews that simulate real-world challenges.
* 1+ Conversational Tech Interviews: Showcase your experience, ideas, and mindset while learning about our vision.
* 1+ Final Round: Finalists will be interviewed by the CEO.

What We’re Looking For
===================
* Proven experience with PHP and Laravel.
* Very solid Typescript & React, and (nice to have) Next.
* Strong knowledge of PostgresQL.
* Ability to thrive in a fast-paced, dynamic environment.
* A problem-solver with excellent communication skills and a self-starter mindset.
* CS degree.
* Minimum of 10 years experience.

To Apply
=======
* Attach your resume as a PDF.
* Include a link to your GitHub profile 
* Include the sentence: “I wrote this  myself and did not use an LLM while writing it.”
* If you are an agency: only apply if the dev will be 100% embedded in our team, with no project manager in the mix. We're not interested in agency relationships. I will ignore any agency  applications where this isn't acknowledged.

If you’re ready to prove you’re among the best and take on a role that will push you to excel and leave a lasting impact, apply now.","web","application","","","","","Laravel","PostgreSQL","PHP","Next.js","","","Vue.js","","",""
"3 hours ago","React Developer for Software Automation in Coaching and eLearning Business","https://www.upwork.com/jobs/React-Developer-for-Software-Automation-Coaching-and-eLearning-Business_~021917522950215343335/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$2,600.00","Our rapidly expanding coaching and eLearning business, with over 3000 paying students, urgently requires advanced AI tools to enhance our digital offerings. We are seeking an experienced and autonomous full-stack software engineer skilled in   and mobile app development. The ideal candidate will thrive in an agile development environment, participating in weekly deployments and bi-weekly scrum meetings. This position is open to USA-based developers only.

Deliverable: Implement cutting-edge automation solutions using React for front-end development, with a robust Node.js backend. The project will interface seamlessly with our existing systems, employing a mobile-first approach. This is not a project starting from scratch.

Must Haves:
4+ years of experience in React development and  development
Strong understanding of React best practices and UX/UI design principles
Ability to interface with back-end systems via RESTful APIs
Commitment of 10-20 hours weekly, with transparency in deliverables through Git tracking
Proficiency in deployment using our AWS CodeDeploy pipeline and active participation in PR reviews
Experience with production-level enterprise systems and high-demand environments

Nice to Have:
Expertise in cache control and managing cookies
4+ years of experience in React Native for mobile app development
DevOps skills, particularly AWS deployment knowledge
Understanding of architecture for interaction with existing services
Experience with cloud logins using Google/Facebook authentication

Note: We are looking for a seasoned, self-driven developer who maintains high standards in full-stack development. Bonuses are awarded based on monthly output and feature-based accomplishments. An occasional same-day request may be rewarded with a bonus.","web","application","web","","","Web Application","TypeScript","Full-Stack Development","API Integration","JavaScript","Web Development","","React","","",""
"3 hours ago","React/Python Expert Needed","https://www.upwork.com/jobs/React-Python-Expert-Needed_~021917518407035256783/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$50.00","We're looking for a highly experienced React/Python developer to help us build a dynamic   for our rapidly growing SaaS platform. The ideal candidate has deep expertise in both frontend development using React (with modern features like hooks and context API) and backend development using Python, particularly with frameworks like FastAPI or Django.

You’ll be working closely with our in-house product and design teams to deliver clean, scalable, and performant code. This is a long-term opportunity for the right developer, with the potential to transition into a leadership role.

Responsibilities:

- Build and maintain responsive UI components using React
- Develop RESTful APIs and backend services using Python (FastAPI or Django)
- Collaborate with frontend and backend developers to integrate APIs seamlessly
- Write clean, reusable, and testable code
- Optimize  performance and scalability
- Work with PostgreSQL or MySQL for database operations
- Participate in code reviews and daily standups

Required Skills:
- 5+ years of experience with React (hooks, context, functional components)
- 5+ years of experience with Python
- Experience with FastAPI, Django, or both
- Strong understanding of REST architecture
- Proficiency in SQL databases (PostgreSQL preferred)
- Familiarity with Docker and basic DevOps workflows
- Version control using Git

Nice to Have:
- Experience with GraphQL
- Knowledge of CI/CD pipelines
- Familiarity with AWS or other cloud providers
- Unit testing and integration testing expertise","web","application","application","","","Web Development","Python","React","JavaScript","HTML","Amazon Web Services","","CSS","API","",""
"4 hours ago","Develop 3 apps from lovable MVPs","https://www.upwork.com/jobs/Develop-apps-from-lovable-MVPs_~021917513027826530037/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $35.00","Intermediate","Est. time:","3 to 6 months, 30+ hrs/week","---The Mission---
We’ve built a small but lovable MVP that users are engaging with—and now it’s time to evolve it into a fully functional, stable, and scalable .

We’re looking for a thoughtful, collaborative engineer (or small team) to help bring this next version to life.

This isn’t a from-scratch job—we already have something working in lovable. 
But now we need to:
- Clean up and optimize the codebase
- Improve performance and architecture where needed
- Fix edge-case bugs and polish UX
- Build out remaining features and workflows
- Prepare for production usage (security, stability, deployment, etc.)

⚙️ Where We Are Now
- Prototype is working on lovable
- Stack: To be defined, but we got the basic lovable repo (typescript + supabase)
- UX is rough in spots, code could use structure and attention
- Some features are still hardcoded or only partially implemented

Important: We haven’t yet defined full specs, so collaboration is key

--- Who We’re Looking For---
You’re someone who can take a rough but working product and:
- Bring engineering maturity to what’s already built
- Help fill in gaps where specs aren’t fully defined
- Work with a product founder who’s open to async and iterative collaboration
- Provide guidance where needed—architecture, tooling, devops, etc.
- Balance speed and pragmatism with long-term thinking

---Sample Tasks You Might Work On---
- Modularizing hardcoded logic into scalable components
- Rebuilding pages with a proper design system or framework
- Integrating auth, payments, or APIs
- Replacing duct-taped backend logic with robust flows
- Deploying to Vercel/Fly.io/Render with CI/CD
- Adding tests or observability layers where missing

---Bonus If You---
- Have shipped production-grade SaaS or apps from MVP stage
- Can think about product and UX—not just code
- Are comfortable suggesting improvements beyond what’s asked
- Have experience with AI tools (V0, Bolt, Lovable), React/Next.js, Supabase , etc.","application","","","","","Web Application","","","","","Website Redesign","","","","",""
"4 hours ago","Laravel Developer with Frontend-Skills (Long-Term)","https://www.upwork.com/jobs/Laravel-Developer-with-Frontend-Skills-Long-Term_~021917512034205564879/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $35.00","Expert","Est. time:","More than 6 months, 30+ hrs/week","We are looking for a strong Laravel developer with strong skills in Frontend too.

Required skills
— Laravel
— MySQL / Database Design
— Sass / Bootstrap / Tailwind
— English

As a plus
— Statamic

We offer
— Working from home-office
— Modern tools and technologies for communication
— Education-courses for technologies and languages
— Bonus-payments for successful projects

Responsibilities
— Development of individual - and app-based solutions
— Testing own implementations
— Test Pull-Requests of other developers

Project description
We are a small developer team from Germany and searching for a Laravel-developer for long-term. We are working with our colleagues remotely from all over the world for almost 5 years now. (Un)fortunately, there is too much work for us and so we would like to welcome you to our team.

Please send us your  containing your hourly rate, hours per week you are available for us, the technologies you like most and a list of projects you developed previously.

See/read you soon!","web","application","","","","Web Application","API Integration","Custom PHP","Laravel","PHP","","+1","CSS","HTML","",""
"4 hours ago","Seeking Expert to Co-Design & Build Automation System (N8N Preferred)","https://www.upwork.com/jobs/Seeking-Expert-Design-Build-Automation-System-N8N-Preferred_~021917511956405145770/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $45.00","Expert","Est. time:","More than 6 months, Less than 30 hrs/week","NOTE: open attached PDF for better readability. 100% AI-generated proposals / messages will be ignored (-:

###

Seeking Expert Partner to Co-Design & Build Marketing Automation System (N8N Preferred)

Project Description
About REPLY42: We are a marketing agency delivering measurable results for mid-sized businesses through our data-driven TACO strategy (Technical Foundation, Advanced SEO, Customized Content, Optimized Promotion).
Our Vision: We aim to build a comprehensive, intelligent automation system for our entire TACO workflow. This system will leverage workflow automation (N8N preferred), databases, AI, and various APIs to productize our services, significantly boost efficiency, ensure consistent quality, and free up our team for high-value strategic tasks.

The Opportunity: We are seeking an experienced Automation & System Design Expert to partner with us in this exciting initiative. We aren't looking for someone to simply execute a predefined plan; we want a strategic partner to collaboratively design the optimal system architecture and select the best-fit technology stack (database, workflow engine, integrations) alongside our founder and an AI Project Manager. Your expertise will be crucial in shaping a robust, scalable, and maintainable solution.

First Step (MVP): The initial engagement will focus on jointly planning and implementing the core client onboarding process. This includes automating data capture from forms, enriching data through automated research/scraping, storing information in the collaboratively defined database, and setting up initial project structures (e.g., in Slack).

Long-Term Partnership: Successful collaboration on the MVP offers a strong potential for a long-term partnership, extending the automation across all four TACO pillars.

The Challenge
We need to design and implement a scalable, robust, and maintainable automation platform that can handle the complexities of our multi-faceted TACO marketing service delivery. The core challenge lies in designing a highly intelligent system of interacting N8N agents. This involves integrating various data sources, orchestrating complex workflows, leveraging AI capabilities, and providing seamless interfaces for our team (primarily via Slack and our PM tool). A key component is the efficient and standardized connection of these agents to tools and data, for which demonstrable experience with protocols such as MCP (Model Context Protocol) or established equivalents is mandatory.

Your Role
As our Automation & System Design Expert, you will:
Work in close collaboration with our founder and an AI Project Manager.
Lead the process of defining the optimal system architecture based on our goals and constraints.
Evaluate and select the core technology stack (database technology, workflow engine, specific APIs/tools), providing clear justifications for your recommendations. While we have a strong preference for N8N as the workflow engine due to its flexibility and self-hosting capabilities, we are open to compelling arguments for alternatives.
Co-design and then implement the initial MVP, focusing on the client onboarding process.
Plan the roadmap for automating subsequent modules across the TACO pillars.
Ensure the solution is well-documented, maintainable, and scalable.

Required Core Competencies
We are looking for an expert with proven experience in:
System Architecture & Design: Designing complex, scalable automation or backend systems.

Deep, Demonstrable Expertise in N8N: Proven ability to design, build, and orchestrate complex systems using interacting N8N agents (Agent Node, Think Tool, etc.). Showcase projects where you successfully managed agent coordination and complex workflow logic within N8N. While N8N is strongly preferred, expertise in comparable enterprise-grade tools (Make, Zapier, Workato) is acceptable only if coupled with a strong justification and the ability to apply agent-based system design principles.

Mandatory: Proven Hands-On Experience with MCP or Equivalents: Demonstrable, practical experience implementing Model Context Protocol (MCP) or equivalent robust, established standards for providing AI agents consistent and efficient access to tools, services, and data. Theoretical knowledge is insufficient; describe specific projects where you have successfully implemented such mechanisms.

Database Technologies: Experience with various database types (SQL required, NoSQL beneficial). Ability to evaluate, select, design schemas for, and manage the appropriate database solution for the project needs (e.g., PostgreSQL, MySQL, MongoDB).

API Integration: Extensive experience integrating diverse third-party APIs (REST, GraphQL) and handling authentication, rate limits, and errors effectively.

Technology Evaluation: Ability to research, compare, and justify technology choices based on technical and business requirements.

Collaborative Problem Solving: Ability to work effectively in a team, discuss trade-offs, and contribute to a shared vision.

Clear Communication & Documentation: Fluency in English and the ability to document designs and processes clearly.
(Refer to our internal profile for more detailed desirable skills like specific API experience - Slack, PM tools, Scraping, AI, SEO tools, Form builders - and soft skills)

First Focus: Onboarding MVP
The initial project phase will concentrate on designing and implementing the client onboarding workflow. Key elements include:
Connecting to our form builder (e.g., Formaloo) to capture initial client data.
Implementing automated research/data enrichment steps (e.g.,  scraping, API lookups).
Designing and setting up the chosen database to store client, project, and scraped data.
Creating initial project setup automation (e.g., creating Slack channels, potentially PM tool projects).
Establishing robust error handling and logging for the workflow.
What We Expect in Your 
Please provide the following in your proposal:
Introduction: Briefly introduce yourself or your agency.
Relevant Experience: Detail your specific experience with workflow automation (especially N8N or similar), database design/selection, system architecture, and API integration. Highlight projects where you played a key design and conceptualization role, not just implementation.

Portfolio/Case Studies: Share examples of 2-3 relevant projects you have successfully completed. Focus on the problem, your solution design, the technologies used, and the outcome.

CRUCIAL - N8N Agent & MCP/Equivalent Demonstration: Provide a detailed description and demonstration (e.g., video link, live demo access if possible, or detailed case study) of at least one project where you successfully implemented both interacting N8N agents AND utilized MCP or an equivalent standard for agent tool/data access. This is a critical requirement for consideration.

Your Approach: Briefly outline your preferred methodology or approach for tackling a project like this, emphasizing the collaborative design phase.

Initial Questions/Discussion Points: What key questions would you ask us in an initial discussion to better understand the requirements and start formulating potential solutions? (This helps us gauge your strategic thinking).

Availability: Confirm your general availability, particularly for collaboration during European business hours (CET).

Rate: Please provide your hourly rate or project estimate approach.

We are excited to find a talented expert to partner with us on building this transformative system!","web","Application","","","","","n8n","JavaScript","API Integration","JSON","","","","","",""
"4 hours ago","development","https://www.upwork.com/jobs/span-class-highlight-Web-span-development_~021917509851622717173/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$500.00","We are building a real-time crypto trading   with an integrated Django  frontend, Docker containerization, PostgreSQL database, and real-time Socket APIs using Django Channels.

The platform includes features like:

Django integrated frontend for admin and users as well API's development for real time mobile .

Live Orderbook (bids and asks) partial, pending and filled orders.
Executed Tradebook for executed trades as historical.
User wallet and balance management
Order matching engine (partial and full fills)
Fee and commission calculations
Admin dashboard to monitor trades, users, and fees
Real-time APIs for frontend/mobile applications
Dockerized environment with webpack integration

Key Responsibilities:
Develop and maintain Django backend for order matching and trading logic
Create and optimize REST APIs using Django Rest Framework (DRF)
Build and maintain Socket real-time updates using Django Channels
Implement and manage PostgreSQL database models for users, ordersbook, trades, wallet, some admin functions discussed in person

Write clean, scalable, well-documented code

Setup and manage Docker containers and environments
Collaborate with frontend developers for smooth API integrations

Implement security best practices for authentication, data privacy, and wallet safety

Deploy the app and maintain CI/CD pipelines (if needed)

Must-Have Skills:
2+ years professional experience with Python and Django
Strong knowledge of Django Rest Framework (DRF)
Experience working with Socket / Django Channels
Proficient with PostgreSQL (or similar relational DBs)
Solid understanding of Docker (Dockerfiles, docker-compose)
Experience with real-time systems or trading platforms 

Familiarity with Git, APIs, and webpack development

Understanding of matching engines, orderbooks, and trading concepts 

Rest details shall be shared if we find you as our match","web","application","web","Web","application","Web Application","Docker","Python","Django","PostgreSQL","","","","","Web","Web"
"4 hours ago","React Engineer to upgrade an existing project","https://www.upwork.com/jobs/React-Engineer-upgrade-existing-project_~021917509206849140469/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $25.00","Expert","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking a talented React Engineer to join our dynamic team. We are focused on modernizing our existing applications and are looking for someone who can effectively convert our old version to React.

Responsibilities:
Convert existing applications to React, ensuring a smooth transition and improved performance.
Collaborate with the development team to integrate APIs and enhance  functionality.
Utilize Redux for state management and ensure efficient data flow within the .
Implement Node.js and Express for backend services as needed.
Work on 3 smart contract integration and wallet connection features, if applicable.

Required Skills:
- React: Proficient in building user interfaces with React.
- Redux: Experience in managing  state using Redux.
- API Integration: Ability to integrate and work with various APIs.
- Node.js & Express: Familiarity with backend development using Node.js and Express.

Huge Plus:
- Experience with 3 smart contract integration and wallet connection.","application","application","web","application","web","","React","JavaScript","Node.js","API Integration","","","Nunjucks","","",""
"4 hours ago","HTML  Implementation Using Tauri for Offline App","https://www.upwork.com/jobs/HTML-span-class-highlight-Website-span-Implementation-Using-Tauri-for-Offline-App_~021917506923112674902/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $22.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled developer to implement an HTML  as an offline  using Tauri for both Windows and Mac devices. The project requires converting provided HTML into a functional desktop app. Experience with Tauri and familiarity with offline  development are essential. If you are passionate about creating seamless user experiences and have strong frontend skills, we would love to hear from you.","website","application","application","","","Web Development","JavaScript","HTML","HTML5","CSS","","","","","Website",""
"4 hours ago","Python Developer, 
Finalizing MVP for Data Analytics Platform","https://www.upwork.com/jobs/Python-Developer-Finalizing-MVP-for-Data-Analytics-Platform_~021917504645715506933/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","Python Developer, Finalizing MVP for Data Analytics Platform 

 

Project Description 
We are looking for an experienced Python developer to finalize the MVP of a data analytics platform. The platform integrates structured datasets, generates dashboards, and produces downloadable reports. Tasks include code cleanup, bug fixing, performance optimization, UI/UX improvements, API integration (pulling data and/or linking to an existing database), and enabling flexible Excel file uploads via drag-and-drop. 

 

Responsibilities 

Review and refactor the existing MVP code for clarity, maintainability, and performance. 

Organize the project into a scalable, modular structure with clean folder organization. 

Fix bugs and ensure stable operation across key features. 

Implement frontend improvements to enhance UI/UX for a clean, professional user experience. 

Optimize performance, especially when handling moderate to large datasets. 

Enable dynamic generation and download of reports (e.g., Excel, PDF, PowerPoint). 

Integrate external APIs to pull data or connect to existing databases as needed. 

Implement drag-and-drop Excel upload functionality with smooth data parsing and integration. 

(Optional) Provide guidance on scalability, security, and deployment best practices. 

 

Required Skills 

Advanced Python programming skills. 

Experience with Streamlit, Dash, or similar Python-based dashboard frameworks. 

Strong understanding of SQL and database integration. 

Experience in professional code structuring and clean architecture principles. 

Familiarity with handling sensitive or business-critical data. 

Ability to work independently and deliver high-quality results on time. 

 

Project Details 

Project duration: 4–6 weeks (depending on availability). 

Remote work, flexible hours. 

Clear deliverables with potential for ongoing collaboration after successful MVP finalization. 

 

 Instructions 
To apply, please provide: 

A brief summary of your relevant experience. 

Examples of past projects (GitHub link, portfolio, or similar). 

Your expected availability and hourly or project rate. 

(Optional) Any initial thoughts on structuring or improving a Python-based analytics dashboard.","Application","","","","","Web Development","Dashboard","Predictive Model","Data Visualization","Python","","+2","API","Database Architecture","",""
"5 hours ago","Marketplace  Developer Needed in Vietnam","https://www.upwork.com/jobs/Marketplace-span-class-highlight-Application-span-Developer-Needed-Vietnam_~021917493402898672198/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","More than 6 months, 30+ hrs/week","PLEASE DON'T SEND GENERIC MESSAGE - Include examples of Marketplace/Related work.


We are looking for a skilled marketplace  developer based in Vietnam to join our team. The ideal candidate will have experience in building scalable and user-friendly applications for e-commerce platforms. You will be responsible for developing new features, optimizing performance, and ensuring a seamless user experience. Strong knowledge of relevant technologies and frameworks is essential. If you are passionate about creating impactful applications and enjoy working in a dynamic team environment, we would love to hear from you!","application","","","","","Web Application","React","Full-Stack Development","AngularJS","Adobe Photoshop","Amazon Web Services","+7","","","Application",""
"5 hours ago","Full Stack Developer for Crypto Wallet (Fireblocks API & Ton Blockchain Expert)","https://www.upwork.com/jobs/Full-Stack-Developer-for-Crypto-Wallet-Fireblocks-API-Ton-Blockchain-Expert_~021917490607586529450/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$1,500.00","Job Title: Full Stack Developer – Crypto Wallet Development**

**Position Summary:**
We are looking for a Full Stack Developer to lead the development of our fintech platform’s backend and frontend. The ideal candidate will have a solid background in 3 technologies, fintech applications, and API integrations, particularly with Fireblocks for custodial wallets and staking services.

**Key Responsibilities:**
- Develop and manage a Next.js (React)   and integrate it with mobile APIs.
- Design and build the backend using Node.js (NestJS preferred) to facilitate wallet operations, staking, and transaction processing.
- Integrate the Fireblocks API to enable custodial wallet features and staking capabilities.
- Create RESTful and 3 APIs to ensure secure data communication.
- Work closely with UI/UX designers to implement intuitive front-end components.
- Optimize  performance while adhering to security best practices.
- Collaborate with TON blockchain engineers to incorporate smart contract functionalities.
- Implement user authentication mechanisms (OAuth, JWT, 3 login when applicable).
- Write clean, maintainable, and scalable code while ensuring thorough documentation.


**Qualifications:**
- Minimum of 3 years of experience in Full Stack Development.
- Proficient in frontend technologies including React (Next.js) and CSS frameworks like TailwindCSS.
- Strong backend development skills in Node.js (NestJS/Express), with experience in PostgreSQL and Firebase.
- Expertise in API development, including RESTful APIs, Sockets, and familiarity with the Fireblocks API or similar crypto custody solutions.
- Experience with TON blockchain, particularly in crypto payments, staking, or wallet developments is advantageous.
- Understanding of security practices, including encryption, authentication (OAuth, JWT), and anti-fraud strategies.
- Familiarity with testing and deployment tools, CI/CD pipelines, Docker, and cloud platforms such as MS Azure or Cloudmania


**Preferred Qualifications (Bonus Skills):**
- Experience in developing TON Blockchain Mini Apps.
- Background in fintech, cryptocurrency, or DeFi platforms utilizing the TON blockchain.
- Knowledge of AML and KYC compliance processes within the fintech sector.","Web","web","application","Web","application","","API","API Integration","Node.js","JavaScript","","","","","","Web"
"5 hours ago","Technical Lead","https://www.upwork.com/jobs/Technical-Lead_~021917488746119208167/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","Company Overview
We are a dynamic and innovative company, passionate about developing cutting-edge online solutions that make life easier. Currently, we're hiring for SocialNest, which is at the forefront of the social media growth industry, helping businesses and individuals amplify their digital presence on platforms like Instagram and TikTok.Job Description
We are seeking an experienced and highly skilled Technical Lead to oversee and guide our backend and frontend development teams. The ideal candidate will possess advanced technical expertise in PHP, NodeJs, frontend technologies, and a solid understanding of full-stack development. This role demands a visionary leader capable of architecting scalable solutions, mentoring team members, and ensuring the delivery of high-quality, robust software solutions.


Responsibilities
Collaborate closely with CTO and other stakeholders to align technical solutions with business goals.
Lead a cross-functional development team, mentoring both backend and frontend developers and providing technical direction.
Ensure best practices in code quality, including writing unit tests, conducting code reviews, and optimizing for performance.
Architect and implement complex systems using Symfony, NodeJs, leveraging microservices architecture to ensure scalability and fault tolerance.
Design and manage microservices communication via message brokers like RabbitMQ and Apache Kafka, ensuring reliable, asynchronous service interactions.
Develop and manage containerized applications using Docker and orchestrate containers using Kubernetes to ensure scalable, resilient microservices.
Oversee the integration and management of databases, including MySQL, PostgreSQL, and MongoDB.
Optimize the frontend experience using JavaScript, SASS, and modern frontend best practices to deliver a cohesive user interface.
Utilize data analytics tools, such as Google Analytics and Datalayer events, for data-driven decision-making.
Optionally, leverage Python for advanced scripting and data integration tasks across the platform.


Requirements


Proven experience as a Technical Lead or Senior Developer with leadership responsibilities.
Expert knowledge of PHP, with extensive experience in the Symfony framework.
Expert knowledge of NodeJs, with extensive experience NextJs.
Strong proficiency in frontend technologies, including JavaScript and SASS.
Deep understanding of database systems, including MySQL, PostgreSQL, and MongoDB.
Experience with microservices architecture and containerization using Docker.
Strong proficiency in microservices architecture, including designing, implementing, and scaling services using message brokers like RabbitMQ and Kafka.
Strong understanding of CI/CD pipelines.
Knowledge of API gateways and service discovery
Strong analytical and problem-solving skills, with a data-driven approach.
Excellent communication skills, with the ability to articulate technical concepts to non-technical stakeholders.
Demonstrated ability to lead and inspire a development team.
Optional: Experience with Python for scripting and data integration.
Familiarity with WordPress and Node.js for specific integration tasks..


Benefits and Perks
Competitive salary package with performance-based bonuses.
Comprehensive health insurance coverage.
Opportunities for professional development and training.
A dynamic and supportive work environment.
Beyond 30+ days of paid leave in addition to honeymoons, paternity/maternity, and more.","","","","","","Web Development","Symfony","SaaS","PostgreSQL","SaaS Development","Web Application","+9","","","",""
"6 hours ago","AI Cold DM & Appointment Setter for SaaS MVP","https://www.upwork.com/jobs/Cold-Appointment-Setter-for-SaaS-MVP_~021917486153781215183/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $40.00","Intermediate","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking a skilled AI Cold DM and Appointment Setter to help drive engagement for our SaaS MVP. The ideal candidate will leverage AI tools to craft compelling direct messages and set appointments with potential clients. Your ability to identify and connect with the right audience is crucial. We are looking for someone who can work independently, manage outreach campaigns, and report on results effectively. If you have experience in sales outreach and a passion for technology, we’d love to hear from you!","","","","","","Web Application","AI App Development","AI Agent Development","Full-Stack Development","API Development","","","","","",""
"6 hours ago","and Mobile  Development","https://www.upwork.com/jobs/span-class-highlight-Web-span-and-Mobile-span-class-highlight-Application-span-Development_~021917480525424896582/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$300.00","We are seeking a skilled developer to create a responsive  and mobile applications for both iOS and Android platforms. The ideal candidate should have experience in full-stack development, as well as proficiency in mobile app development. You will be responsible for designing the user interface, integrating APIs, and ensuring seamless functionality across devices. If you have a track record of delivering high-quality applications and , we want to hear from you!","website","websites","","","","Web Development","JavaScript","PHP","Android","CSS","","","","","Web","Application"
"6 hours ago","ASP.NET  Developer Needed","https://www.upwork.com/jobs/ASP-NET-span-class-highlight-Application-span-Developer-Needed_~021917477617763137269/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking an experienced ASP.NET  Developer to help us build and maintain  applications. The ideal candidate will have a strong understanding of ASP.NET technologies and frameworks, with a proven track record of delivering high-quality code on time. You will collaborate with our team to design, implement, and troubleshoot applications, ensuring optimal performance and user experience. If you are passionate about creating robust  solutions and enjoy working in an agile environment, we'd love to hear from you!","Application","web","web","","","","ASP.NET",".NET Framework","C#","ASP.NET MVC","","","API","VB.NET","Application",""
"6 hours ago","QA Tester Needed for  App Testing","https://www.upwork.com/jobs/Tester-Needed-for-span-class-highlight-Web-span-App-Testing_~021917477493529590512/?referrer_url_path=/nx/search/jobs/","Hourly: $10.00 - $18.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a meticulous QA tester to evaluate our new  . Your primary responsibility will be to identify and document any issues and suggest improvements to enhance user experience. The ideal candidate will have a keen eye for detail and a passion for quality assurance. You will work closely with our development team to ensure a smooth launch. If you are experienced in  app testing and have a solid understanding of QA best practices, we would love to hear from you!

Kick off call need to be late as client is in Canada","web","application","web","","","Web Testing","Bug Reports","Software QA","Functional Testing","Mobile App Testing","","","","","Web",""
