"text-light 2","air3-link","air3-link href","job-tile-info-list","job-tile-info-list 2","mr-1","job-tile-info-list 3","mb-0","highlight-color","air3-token","air3-token 2","air3-token 3","air3-token 4","highlight","air3-token 5","air3-token 6","highlight 2","air3-token 10"
"1 hour ago","Automate market reseach with Google sheets & GPT","https://www.upwork.com/jobs/Automate-market-reseach-with-Google-sheets-GPT_~021917498396678957638/?referrer_url_path=/nx/search/jobs/","Fixed price","Expert","Est. budget:","$30.00","We are a mobile app studio looking to develop a google sheets to automate market research.

Basically, from a list of 100 companies or links, we'd like to generate informations on:
- tools used by such companies for ticketing
- # of participants
- dates
- ownership of the company
- wether they have a mobile app or not (IOS / android)
- If they have a mobile app:
Launch date / features description / Reviews (IOS & Android)

We think sheets and GPT for sheets would be an okay way of doing so, but open to other suggestions.","Python","Data Analysis","Google Sheets","Automation","Data Mining","","","","",""
"1 hour ago","Fix Flask Web-Application","https://www.upwork.com/jobs/Fix-Flask-Web-Application_~021917497305722519503/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$800.00","Looking for someone that has worked on the Flask + Svelte framework. I'd like to speak with them about a few issues that have never been resolved (ex. A csrf security issue), and to maybe even have them build the app. I am technical.

Private repo but will share when we discuss.","Python","Flask","Svelte","","","","","","",""
"1 hour ago","Full Stack Developer Needed for Multi-Purpose Projects","https://www.upwork.com/jobs/Full-Stack-Developer-Needed-for-Multi-Purpose-Projects_~021917494688783007695/?referrer_url_path=/nx/search/jobs/","Hourly: $3.00 - $3.00","Intermediate","Est. time:","1 to 3 months, 30+ hrs/week","We are seeking a skilled full stack developer proficient in Node.js and  for various projects. The ideal candidate will have experience in both front-end and back-end development, able to create dynamic and responsive applications. You will work on diverse tasks ranging from building APIs to implementing user interface designs. Strong problem-solving skills and the ability to collaborate with a team are essential. If you're passionate about coding and looking for a flexible work environment, we want to hear from you!","","JavaScript","WordPress","Web Development","CSS","Python","HTML","","",""
"1 hour ago","Crypto Analyst / Trading View / Market Research","https://www.upwork.com/jobs/Crypto-Analyst-Trading-View-Market-Research_~021917494833955983530/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $100.00","Intermediate","Est. time:","More than 6 months, 30+ hrs/week","Seeking a talented cryptocurrency analyst 

TradingView power-user: advanced chart layouts, Pine Script v5 basics, alert webhooks.

 proficiency: pandas, NumPy, ta-lib, ccxt/web3.py, Jupyter; able to turn research into repeatable code.

Solid grasp of crypto markets: CEX/DEX micro-structure, token life cycles, major narratives (DeFi, RWAs, AI, L2s, etc.).

Data-literacy: SQL or BigQuery, REST/WebSocket APIs, JSON parsing, and data-visualization best practices.

Writing & presentation skills: convert complex analysis into crisp, client-ready insights.

English as first language preferred.","","Data Analysis","Financial Analysis","Cryptocurrency","Market Research","Python","","","",""
"2 hours ago","Independent Consultant – Neo4j Graph System with  Automation","https://www.upwork.com/jobs/Independent-Consultant-Neo4j-Graph-System-with-span-class-highlight-Python-span-Automation_~021917494092418823925/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","Project Overview
We are looking for an experienced Neo4j consultant to transform a working prototype into a production-ready system and later implement data import routines from GitLab and Nexus. This is a two-phase fixed-price project.

Phase 1 – Productionize Neo4j
Scope:

Package the current Neo4j prototype in a secure, Dockerized setup

Configure HTTPS, backup routines, and user access management

Provide basic graph rendering/reporting interface (e.g., Neovis.js, Bloom, or similar)

Implement initial data management routines (import/export, cleanup)

Deliver a ready-to-use system for team access and internal deployment

Phase 2 – GitLab & Nexus Data Import
Scope:

Develop  scripts to:

Extract metadata from GitLab (repos, commits, tags, CI pipelines, etc.)

Extract artifact and dependency data from Nexus OSS

Load/refresh this data into Neo4j via Cypher/Bolt/APOC

Propose and implement a scheduling mechanism for regular updates (manual, cron, or CI)

Profile Requirements
Proven expertise in Neo4j (admin, Cypher, APOC)

Docker, HTTPS, and security configuration

Experience with data visualization in graphs (Bloom, Neovis.js, or custom dashboards)

Strong  programming skills and experience with REST APIs

Familiarity with GitLab API and Nexus OSS ecosystem

Bonus: Understanding of software dependency graphs or architecture documentation

Engagement Details
Total Budget: To be defined per phase (please propose)

Timeline: Phase 1 (2–3 weeks), Phase 2 (2–4 weeks)

Deliverables: Docker container + documentation (Phase 1), scripts and scheduled sync (Phase 2)

Location: Remote, CET/CEST overlap preferred

To Apply:
Please include:

A short summary of your relevant experience

Examples or links to similar past work

Proposed fixed cost per phase

Availability and timezone

(Optional) GitHub or portfolio link","Python","Neo4j","Docker","REST API","","Python","","","Python",""
"2 hours ago","Crypto Coin Creation and Exchange Listing Expert Needed","https://www.upwork.com/jobs/Crypto-Coin-Creation-and-Exchange-Listing-Expert-Needed_~021917493867652004592/?referrer_url_path=/nx/search/jobs/","Hourly: $10.00 - $350.00","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking an experienced blockchain developer to create a unique cryptocurrency and facilitate its listing on various exchanges. The ideal candidate should possess strong knowledge of blockchain technology, tokenomics, and compliance regulations. You will be responsible for the technical aspects of the coin creation process, ensuring it meets all necessary standards for exchange listings. If you have a proven track record in launching cryptocurrencies and can navigate the complexities of the crypto market, we want to hear from you!","Python","Blockchain","Cryptocurrency","JavaScript","Web Development","","","","",""
"2 hours ago","Developer Needed (India-based) for Public Website Data Scraper","https://www.upwork.com/jobs/span-class-highlight-Python-span-Developer-Needed-India-based-for-Public-Website-Data-Scraper_~021917490328697026134/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$200.00","Developer Needed (India-based) for Public Website Data Scraper

Description:
We are seeking a  developer physically located in India to write a simple data scraper for two public websites. The task involves extracting structured data and saving it into a CSV file.

Project Details:

Write a  script to scrape data from two public websites in India.

Deliverables include:

- Two clean, well-documented  code file (.py).

- Two CSV files containing the scraped data.

Timeline: 1 week to complete the project.

Payment: $200 USD upon successful delivery of both the code and the CSV files.

Requirements:

- Must be physically based in India.

- Proficiency in , especially web scraping libraries like requests, BeautifulSoup, pandas, or similar.

- Attention to detail and ability to deliver clean, reproducible work.

- Ability to communicate progress during the week if needed.

To Apply:
Please send a brief message confirming:

- Your location in India.

- Your experience with web scraping (links to examples are a plus).

- Your availability to start immediately.

- Screenshots of your ability to open https://rerawebsite.in/karnataka-rera/ and https://ejanma.karnataka.gov.in/","Python","Data Extraction","Screen Scraping","Web Scraping","Beautiful Soup","Python","pandas","Data Scraping","Python","+1"
"2 hours ago","Scrape a website","https://www.upwork.com/jobs/Scrape-website_~021917487201283473361/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$50.00","Please go over the content on the website below. You will see there are many text info within each country tab. 

https://www.dlapiperdataprotection.com/?c=AL&c=DZ&c=AO&c=AR&c=AM&c=AW&c=AU&c=AT&c=AZ&c=BS&c=BH&c=BD&c=BB&c=BY&c=BE&c=BJ&c=BM&c=BO&c=BQ&c=BA&c=BW&c=BR&c=VG&c=BN&c=BG&c=BF&c=BI&c=KH&c=CM&c=CA&c=CV&c=KY&c=TD&c=CL&c=CN&c=CO&c=CI&c=CR&c=HR&c=CU&c=CW&c=CY&c=CZ&c=CD&c=DK&c=DO&c=EC&c=EG&c=SV&c=GQ&c=EE&c=ET&c=FM&c=FJ&c=FI&c=FR&c=GA&c=GE&c=DE&c=GH&c=GI&c=GR&c=GT&c=GG&c=GN&c=HT&c=HN&c=HK&c=HU&c=IS&c=IN&c=ID&c=IR&c=IE&c=IL&c=IT&c=JP&c=JE&c=JO&c=KZ&c=KE&c=XK&c=KW&c=KG&c=LA&c=LV&c=LB&c=LS&c=LR&c=LY&c=LT&c=LU&c=MO&c=MG&c=MY&c=MT&c=MU&c=MX&c=MD&c=MC&c=MN&c=ME&c=MA&c=MZ&c=MM&c=NA&c=NP&c=NL&c=NZ&c=NI&c=NE&c=NG&c=MK&c=NO&c=PK&c=PA&c=PY&c=PE&c=PH&c=PL&c=PT&c=QA&c=QA2&c=CG&c=RO&c=RU&c=RW&c=SA&c=SN&c=RS&c=SC&c=SG&c=SX&c=SK&c=SI&c=ZA&c=KR&c=ES&c=LK&c=SE&c=CH&c=TW&c=TJ&c=TZ&c=TH&c=TO&c=TT&c=TN&c=TR&c=TM&c=AE4&c=AE2&c=AE3&c=AE&c=UG&c=UA&c=GB&c=US&c=UY&c=UZ&c=VE&c=VN&c=ZM&c=ZW

Could you please provide an excel file, with rows equaling to country names (or the two digit country code) and columns  including all the text info of the focal country. I want all data presented within one excel tab.

If you can send me a sample excel file or a full file, I will deliver the order directly. I need this in 3 hours. Thanks!","Python","Data Scraping","","","","","","","",""
"2 hours ago","Seeking Founding AI Engineer","https://www.upwork.com/jobs/Seeking-Founding-Engineer_~021917485346602923765/?referrer_url_path=/nx/search/jobs/","Hourly: $10.00 - $20.00","Expert","Est. time:","More than 6 months, 30+ hrs/week","I'm looking for a Founding AI Engineer with hands-on experience in Causal AI. 

We’re a bootstrapped team with an MVP in place and multi-agentic solution, solving the tough problem of observability/incident response alongside experienced founders and engineers. The whole team is fully technical and has been in the industry for many years.

What We're Looking For:
- A true founding engineer who can dive deep into AI development, scaling our observability product, and iterating on innovative solutions.
- Must have real-world experience and a robust understanding of Causal AI.
- You should be comfortable with the startup hustle—hands-on, proactive, and ready to commit the same energy and passion that I bring every day.

This role is equity-based and will become full time job; I’m fronting all costs and investing in the product.

A Few Points to Note:
- If you send an AI-generated proposal, it will be ignored. I'm looking for genuine, thoughtful applications from people who are ready to roll up their sleeves and work.
- I'm interested in someone who doesn’t just know the tech but is eager to innovate and scale our product to new heights.

If you're ready to join a dedicated, experienced team, solve a hard problem in AI observability, and grow alongside us, let's connect. I’m excited to find someone who truly understands what it means to work in a startup and is ready to make a significant impact.","Python","Causal Inference","Artificial Intelligence","","","","","","",""
"2 hours ago","YouTube Growth-Tracking Framework and Data Analysis Expert","https://www.upwork.com/jobs/YouTube-Growth-Tracking-Framework-and-Data-Analysis-Expert_~021917484577392073959/?referrer_url_path=/nx/search/jobs/","Hourly: $35.00 - $75.00","Expert","Est. time:","1 to 3 months, Hours to be determined","Option 1 – “Build-and-Hand-Off” Specialist
We need a short-term data expert to design and install an automated YouTube analytics framework for our four channels.

Your deliverable:
- Merge the weekly CSV exports into one master table.
- Add the six core KPIs we track
- Produce a clean WeeklyChannelSummary and visual dashboard that refresh with one click.
- Document every step (video or SOP) so our team can maintain and update the system themselves.

Once the framework works flawlessly and we understand it, the contract ends.

Option 2 – Ongoing Analyst & Insight Partner
We’re looking for a continuous partner who will run the system for us and translate numbers into actions.

Your weekly cycle:
- Ingest the four channel exports, refresh the dashboard, and sanity-check data.
- Deliver a concise report (top wins, issues, and next actions) focused on the six KPIs.
- Suggest thumbnail / hook / content experiments backed by the data.
- Tweak or extend the framework as the channel evolves.

If you love turning YouTube analytics into growth playbooks and can own the whole workflow, we’d like to talk.","Python","Microsoft Excel","Data Analysis","Marketing Strategy","Social Media Marketing","","YouTube","","","+4"
"2 hours ago","AI Creator Platform Development","https://www.upwork.com/jobs/Creator-Platform-Development_~021917483416262588149/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","Hey! I’m looking for a developer to help me bring an idea to life — a simple web app where brands can paste in their product URL and get back a short AI-generated video ad. Think something like Creatify.ai, but starting with just a basic MVP.

This is for the first version, so I want to keep it clean, simple, and functional. If it works well, we can keep improving it together.

What the tool should do (MVP):

Let a user sign in and paste a product link (like a Shopify or Amazon product)

Automatically pull info from that link (images, title, description)

Use AI to write a short script (something like ChatGPT)

Use another AI tool (or your suggestion) to generate a short video ad based on that script

Let the user download the video

Accept payments via Stripe or something similar

Looking for someone who:

Has real experience working with AI tools or APIs (text + video)

Can build a clean, working web app quickly (frontend + backend)

Has examples of similar tools or platforms they’ve built

Communicates well and doesn’t just say “yes” to everything — I want someone who gives input too

Bonus if you’ve worked with tools like:

OpenAI / GPT

RunwayML, DeepBrain, Pictory, or anything similar

Video generation APIs or script-to-video tools

To apply, just tell me:

What stack you’d use to build this

How much you'd charge for a working MVP

How long it’d take

A couple links to projects you’ve built that are close to this

Start your message with “AI Ads” so I know you read this. Excited to hear from you!","Python","Adobe Illustrator","Artificial Intelligence","API","Graphic Design","","","","",""
"2 hours ago","AI Communication Platform Integration for GoHighLevel Agency","https://www.upwork.com/jobs/Communication-Platform-Integration-for-GoHighLevel-Agency_~021917481157029246550/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","We are seeking a skilled developer to assist in integrating an AI communication platform for our GoHighLevel Saas agency. The ideal candidate will have experience with APIs, AI tools, and CRM systems. You will work closely with our team to ensure seamless communication and functionality. If you have a passion for enhancing client experiences through technology and a proven track record in similar projects, we would love to hear from you. Strong problem-solving skills and attention to detail are essential for this role.

Project:
     AI Communication Platform Integration for our Go High Level Saas Agency
We’re building an AI-powered multi-client communication platform for Lenix.ai — a GoHighLevel-based automation agency. The platform will integrate ChatGPT (GPT-4), Twilio, Deepgram, ElevenLabs, and GoHighLevel to power intelligent, scalable conversations across SMS, email, voice, and web chat.","Python","API","Java","JavaScript","API Integration","","","","",""
"3 hours ago","Home Assistant Integration","https://www.upwork.com/jobs/Home-Assistant-Integration_~021917469564369371087/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","Less than 1 month, Less than 30 hrs/week","Jewish Home assistant custom integration, that will work based on what i'll provide

I have a full plan and diagram based on  HDate (should be built-in in hassio)","Python","Home Automation","","","","Python","","","",""
"3 hours ago","Replit Project Deployment Assistance","https://www.upwork.com/jobs/Replit-Project-Deployment-Assistance_~021917469220045108981/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$50.00","I am looking for a developer who can guide me through the process of deploying a Replit project to my server. The ideal candidate will have experience with Replit and server configurations, able to provide step-by-step instructions and troubleshooting support. Additionally, familiarity with web server technologies and a clear communication style is essential. This is a great opportunity for someone who enjoys teaching and sharing knowledge. Your expertise will help ensure my project's successful launch.","Python","CI/CD","Web Development","Deployment Automation","JavaScript","","","","",""
"3 hours ago","Upgrade Ticket Availability Checker Extension","https://www.upwork.com/jobs/Upgrade-Ticket-Availability-Checker-Extension_~021917467217249435599/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$100.00","We are looking for a skilled developer to upgrade an existing browser extension that checks and displays available ticket quantities from Ticketmaster and Live Nation.I need to upgrade the extension so that it can rotate IP addresses with each check or implement another method to avoid tto use same IP address. The ideal candidate will have experience working with browser extensions and APIs, as well as a strong understanding of ticketing systems. Your expertise will help enhance the functionality and efficiency of our tool. If you are passionate about improving user experiences and have the technical skills to bring this project to life, we would love to hear from you!","Python","PHP","JavaScript","MySQL","C#","","","","",""
"4 hours ago","Build a Simple Income Discovery App (Glide or FlutterFlow MVP | Quiz + Roadmap + AI)","https://www.upwork.com/jobs/Build-Simple-Income-Discovery-App-Glide-FlutterFlow-MVP-Quiz-Roadmap_~021917461609645068458/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $30.00","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","Looking for a no-code developer (Glide or FlutterFlow) to build a simple income discovery app for low-tech users. The app includes a quiz, roadmap screens, progress tracking, and AI support. All content, designs, and flow will be provided privately after NDA.
To apply: Send your past work + confirm if you're open to signing an NDA.","","Firebase Cloud Firestore","FlutterFlow","No-Code Development","","","","","",""
"4 hours ago","Build & Maintain Scholarship-Scraper (, Web Scraping + ML)","https://www.upwork.com/jobs/Build-amp-Maintain-Scholarship-Scraper-span-class-highlight-Python-span-Web-Scraping_~021917460692028096463/?referrer_url_path=/nx/search/jobs/","Hourly: $30.00 - $50.00","Expert","Est. time:","More than 6 months, Less than 30 hrs/week","We need a developer to build and maintain an automated pipeline that - given a richly-tagged student profile - discovers 400-500 local / niche scholarships, extracts key fields (deadline MM/DD/YYYY, amount, contact, etc.) and exports a CSV that matches our template.
You'll own: query generation, web crawling (Google API/Bing, PDF & HTML parsing), keyword-based relevance scoring, deduplication, and light ML ranking.
Stack:  3.9+, Requests/Playwright/Selenium, BeautifulSoup, pandas.
Start with a working prototype, iterate to production, then handle 2–4 student profiles per week.

Scope & Budget
• Fixed price for MVP, then hourly retainer for ongoing cases.
• First delivery due 7 days after contract start.

Must-have Skills
Web scraping, , data cleaning, CSV, regex, basic ML/NLP, Git.","Python","Data Scraping","Web Crawling","CSV","Regex Writing","Python","Natural Language Processing","Git","Python",""
"4 hours ago","GitHub Repo Installation for Suna AI","https://www.upwork.com/jobs/GitHub-Repo-Installation-for-Suna_~021917455098233920743/?referrer_url_path=/nx/search/jobs/","Fixed price","Intermediate","Est. budget:","$150.00","Needed for Suna AI Agent Self-Hosting Setup

https://github.com/kortix-ai/suna


## Job Description
I'm looking for a technical expert to help me set up and install Suna, an AI agent platform, on my PC for self-hosting. This is a one-time project requiring experience with various technologies including Supabase, Redis, and Docker.

## Requirements

### Technical Skills Required:
- Experience with Supabase database setup and configuration
- Knowledge of Redis installation and configuration
- Familiarity with Docker and container management
-  development experience
- Comfortable with environment variable configuration
- Experience setting up web applications with Next.js frontend

### Project Tasks:
1. Complete installation of Suna self-hosting environment on my PC
2. Set up all required accounts (Supabase, Daytona, etc.)
3. Configure necessary API keys and environment variables
4. Ensure the application is running properly
5. Provide basic documentation for maintenance
6. Include a 1-hour training session on how to use and maintain the installation

### Deliverables:
- Fully functioning Suna installation on my PC
- Documentation with all access credentials
- Brief maintenance guide
- 30-day support for any installation-related issues

## Project Details
- **Budget**: $150(Fixed price)
- **Timeline**: Complete within 1 week
- **Experience Level**: Intermediate to Expert
- **Availability**: Need to be available for at least one video call during the installation process

## Application Requirements
Please include in your proposal:
1. Your experience with similar installations or technical setups
2. Familiarity with any of the components (Supabase, Redis, Docker, etc.)
3. Estimated time needed to complete the installation
4. Any questions you have about my specific environment
5. Whether you've worked with AI tools or agents before","Python","TensorFlow","Machine Learning","Artificial Intelligence","Neural Network","Python","","","",""
"4 hours ago","Looking for people who know the Algo Development Process from ""Idea - Live Trading"".","https://www.upwork.com/jobs/Looking-for-people-who-know-the-Algo-Development-Process-from-Idea-Live-Trading_~021917452291948400810/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $40.00","Expert","Est. time:","3 to 6 months, Less than 30 hrs/week","We are IU Capital LLC, an upcoming Trading Firm, engaging Software engineers, Quants and Discretionary Traders in the development of Trading Algorithms, taking trades based on sound market principals and statistics.

We have an entire team of very smart individuals and succesfully developed a multitude of Algorithms already.

Still, it imposes a challenge for us to get all these people working together properly and have a clear cut and lean process for our development, testing and putting parameters live to trade.

The ideal candidate should know the development, testing and live application cycle very well and help us build a structure to finally make consistent profits.","","Test Development","Mathematics","Algorithm Development","Mathematical Modeling","","Quantitative Research","English","",""
"4 hours ago","Web App Developer (React + ) – AI-Accelerated Build – Flat Rate","https://www.upwork.com/jobs/Web-App-Developer-React-span-class-highlight-Python-span-Accelerated-Build-Flat-Rate_~021917452168270958762/?referrer_url_path=/nx/search/jobs/","Hourly","Intermediate","Est. time:","1 to 3 months, Less than 30 hrs/week","JOB DESCRIPTION:

 I’m looking for an experienced web developer to build a V1 of my application. The overall concept is an easy-to-use calendar interface with a lot of drag-and-drop for organizing and re-working one’s calendar to balance personal, family and work activities.

 The design, user flows, and core feature set are already fully developed — I have a detailed Figma project, a workflow/user map, and clear descriptions of the calendaring categories and activities.

WHAT I NEED:
-Build an initial web application (desktop-first; NOT mobile app)
- Use common frameworks: Suggested: React for frontend,  (or another strong backend)
- Leverage AI tools to speed up development (e.g., AI converting Figma to HTML, AI scaffolding, etc.)

DEVOPS HELP:
- Set up a QA environment
- Prepare a beta version for external testers
- Deploy to a basic hosting setup (AWS, GCP, or similar)

KEY REQUIREMENTS:
- Experience building web applications (not just landing pages)
- Skilled with React and  (or similar scalable frameworks)
- Ability to show real examples of where you've used AI tools to speed up development for recent work - ability to show previous work examples of easy-to-use drag-and-drop interface
- FLAT RATE pricing for the whole project
- Can work relatively independently with clear specs
- Strong technical skills — this is not just ""no-code"" work

BONUS:
- Experience setting up basic DevOps pipelines for startups (QA and Beta environments)
- Good communication and availability for occasional calls

TIMELINE:
- Target: 3 weeks to MVP completion

WHEN APPLYING, PLEASE INCLUDE:
1. A few examples of web apps you've built (especially using React + )
2. Examples where you used AI to assist coding (please explain how it helped and time saved)
3. A rough confirmation that the 3-week timeline is realistic for you, and when you would be available to start

ADDITIONAL MATERIALS I WILL PROVIDE:
- Complete Figma designs
- Full workflow (user map)
- Core category and activity descriptions

OTHER NOTES:
- Jurisdiction/location flexible — just need strong communication and quality work
- I have a consultant available to help me evaluate technical candidates if needed","Python","Web Application","Web Development","React","Web Development Consultation","Python","","","Python",""
"4 hours ago","Delivery Mobile App","https://www.upwork.com/jobs/Delivery-Mobile-App_~021917450894939258831/?referrer_url_path=/nx/search/jobs/","Hourly","Expert","Est. time:","1 to 3 months, Less than 30 hrs/week","## **🚚 Mobile Driver App Developer Needed for Route Booking, Delivery & Performance Tracking (iOS or Cross-Platform)**

We’re looking for a skilled mobile developer to build a **driver-facing app** that connects to our SwiftUI-based dispatcher system (**Admin Portal**) and internal warehouse platform (WMS) also in progress not launched.

### ✅ **Project Overview**
We operate a tech-driven logistics platform (middle-mile and last-mile). You’ll be building the **Driver App**—a mobile application that enables independent drivers to:

- **Browse & bid on available delivery routes**
- **Get assigned and complete awarded routes**
- **Mark delivery statuses (completed/failed)**
- **Capture proof of delivery (POD, photos, signatures)**
- **Track earnings and payouts**
- **Maintain driver profile (documents & compliance alerts)**
- **View and improve performance grade**

This app must communicate **in real time** with our Admin Portal-Dispatcher (already built in SwiftUI) and **integrate smoothly** with our warehouse WMS which manages route packing and barcode verification.

### 📱 **Key Features**
- Driver authentication & profile dashboard  
- Route marketplace (available routes to bid on)  
- Route view with stop-by-stop navigation (Google Maps SDK)  
- POD capture (camera, signature, notes)  
- Earnings dashboard & payout request logic  
- Document upload with **expiry alerts** (e.g., insurance, license)  
- **Performance grade model** (driven by delivery success rate, lateness, POD quality)

### 🔧 Tech Requirements
- **Google Maps SDK** integration (NOT MapKit)
- Strong background in mobile development (Swift, Flutter, or React Native OK)
- Firebase, REST, or custom backend integration
- Clean UI/UX and scalable architecture

### 🧩 Integration Points
- Sync with Admin Portal Dispatcher for:
  - Route assignments
  - Delivery status updates
  - Earnings reporting
- Sync with WMS app for:
  - Item-level barcode handoff verification
  - Ready-to-load confirmation

### 💼 About Us
We’re building Driver App, a crowdsourced delivery platform, backed by a real dispatcher tool and internal WMS. 

--- Note Admin dispatcher target is as Webapp and WMS mobile app","Python","iOS","Swift","Kotlin","SwiftUI","","PHP","Django","","+5"
"4 hours ago","General BE Developer ()","https://www.upwork.com/jobs/General-Developer-span-class-highlight-Python-span_~021917449840506084583/?referrer_url_path=/nx/search/jobs/","Hourly: $15.00 - $22.00","Intermediate","Est. time:","1 to 3 months, Not sure","General BE Developer ()  

Location: Remote (Canada/US preferred) 
Type: Contract or Part-Time with potential for Full-Time 
Language:  

About Quotograph 
At Quotograph, we're transforming how construction professionals manage their projects. From automated measurements to dynamic project reporting, our tools help contractors work smarter, faster, and safer. We’re growing fast and looking for a skilled Back-End Developer to join our team and build foundational features across multiple applications. 
 
What You’ll Work On 
You’ll be responsible for general backend development across Quotograph’s two core applications: 

Applications: 
Quoto-Measure (site measurements from PDF floorplans) 
Demo video: https://www.youtube.com/watch?v=L82QVD-kFOk&t=1s  
Quoto-Report (Project Summary & Risk Reports from site videos) 
Demo video: https://www.youtube.com/watch?v=IQbJFMAGxis&t=257s 

Key Responsibilities 
Referral Program: Develop and deploy a referral system inside both Quoto-Measure and Quoto-Report to allow users to invite others and track referral credits. 
Authentication: Improve and modify the current authentication flow to follow the best security practices 

General Backend Enhancements: 
-Build and maintain secure, scalable APIs. 
-Optimize existing APIs for speed and reliability. 
Support database management (PostgreSQL preferred). 
-Able to handle long running tasks properly using background tasks or implementing async flows 
-Familiarity with handling media such as videos, pdfs, images properly in BE like knowing how to handle generate signed urls 
-Clear understanding of modularity, reusability and scalablity 
-Integrate new features into existing architecture with minimal downtime. 
-Handle backend error logging and monitoring. 
-Participate in code reviews and help shape engineering best practices. 
-Basic Understanding of FE such as React 

Tech Stack You’ll Work With 
Languages:  (FastAPI) 
Databases: PostgreSQL 
Infrastructure: Azure or GCP (experience with serverless a bonus) 
-Version Control: GitHub 

About You 
3+ years of  back-end development experience. 
Experience building OAuth2.0 authentication flows. 
Previous experience with referral program development (or loyalty program logic). 
Comfortable working in early-stage environments with shifting priorities. 
Strong communication skills and ability to work independently. 
Bonus: Experience with video data pipelines or construction tech tools. 

Why Join Quotograph? 
-Work with cutting-edge tech in an industry ready for disruption. 
-Opportunity to shape foundational parts of the platform. 
-Flexible remote work environment. 
-Chance to grow into a senior leadership or full-stack role as we scale. 

Interested? 
Send us your portfolio, GitHub, and a short intro","Python","Web Application","AI App Development","Web Development","Amazon Web Services","Python","API","","Python",""
"5 hours ago","AI Developer for Auto-Detection of Floor Plan Elements in PDF Blueprints","https://www.upwork.com/jobs/Developer-for-Auto-Detection-Floor-Plan-Elements-PDF-Blueprints_~021917448419350722293/?referrer_url_path=/nx/search/jobs/","Hourly: $20.00 - $60.00","Expert","Est. time:","Less than 1 month, Less than 30 hrs/week","Description:
We’re looking for an experienced AI/Computer Vision developer to help enhance Quoto-Measure, our intelligent floor plan measurement tool. Currently, users can upload scaled PDFs and make digital measurements manually. We’re ready to take this to the next level by introducing automated detection of objects and measurements — allowing users to simply verify pre-generated data instead of creating it from scratch.

Scope of Work:
The goal is to integrate advanced visual recognition and machine learning features into our existing tool. The following core features are to be developed:

🔹 1. Scale Detection
Automatically identify and apply the drawing scale, typically located in the bottom-right corner of a PDF floor plan.

As a first phase, highlight the detected scale for user confirmation before full automation.

🔹 2. Legend-Based Object Detection
Recognize the standardized legend typically found in the first few pages of architectural plans.

Allow the user to select an item from the legend (e.g., door, sink) and apply auto-detection for that symbol on a single page or across the entire document.

🔹 3. Object Detection Beyond the Legend
Enable detection of repeatable objects not included in the legend (e.g., office spaces).

If a user manually identifies an object, the system should generalize that selection and detect similar objects elsewhere in the document.

🔹 4. Universal Object Detection with Counting
Automatically detect and count distinct object types (e.g., wheelchair ramps, rooms, mechanical units).

For applicable objects, also extract area measurements where relevant (e.g., surface area of rooms).

🔹 5. GC/Subcontractor Bid Output
Support the generation of structured data exports to assist general contractors and subcontractors in compiling bids based on the auto-detected measurements and counts.

Deliverables:
-Working feature implementation integrated into Quoto-Measure (we can provide access to staging)
-Codebase with documentation
-Milestone-based updates with testing and feedback loops

Preferred Skills:
-Computer Vision (OpenCV, YOLO, etc.)
-Experience working with PDF blueprints
- or JavaScript-based ML frameworks
-UI/UX understanding for tool usability
-Experience with takeoff/estimation software is a bonus

Next Steps:
Please include:
-A brief overview of similar projects you’ve worked on
-Your estimated timeline and cost for implementation
-Any relevant questions or technical constraints you foresee

We’re excited to collaborate on pushing construction tech forward — looking forward to hearing from you!
Product: https://www.youtube.com/watch?v=L82QVD-kFOk","Python","Computer Vision","PyTorch","","","Python","","","",""
